NU_INSCRICAO,CO_PROVA_MT,TX_RESPOSTAS_MT,TX_GABARITO_MT
210055332066,1077,CACADBECEBAEDEAAAADEACBDCBDEADAEEACEBCDDEEDAC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210054798509,1077,BCBDCDEBDCDBBAAEDBCECACDCDDABCDC.CEBCCDCAEAAC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210055102409,1076,CBCACCDECCACDCDDBCBCBAECBDCBCEECDEDCEDEAEAABE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057255269,1075,DAEABBDECDDDBEBCABBBBDCAACCBCEBACBADDDCEAACBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210055146136,1075,DCCEEBEDBDBCBBCCBBCEAAEDBADDCCADADEEBABEEAEBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210054910618,1075,DADDEACEACCDACBAEECCBDAAACDBDECBEBECCDDEBEBAD,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210055879564,1076,CCDADCDEEBACDCEDBCCDBDEBBEBCDAADDBDDBECDABACC,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057670203,1077,BDDCEDCCAEBBDEEDDCBDECACADCCBECDBECCBCBDEDDDD,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210056642693,1077,BABAEEEDEABCAACBAAAEACDEEACBABBEBBEEBAAABABAA,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210056870402,1076,ABDDBCBCECECAADCADEDDCEABBBBAADCEECBEABADCDAB,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210055627167,1076,AECADCCEDEEDEADEBCBDEEAABADBBEDAEABDDBBDECBCB,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057947733,1078,EAEBECEDABCAEDCADBDADBAEBDEEEDAECCAEABADDCDBE,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD
210056989045,1076,EBDDDBABEDACBCCCBBDDDCACCAADBEEEDAEBCAAAAEADE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210056615600,1076,CDEDDBEDEEDCBBBDEDDDCCDDBDBABCDBDAEDABDDDEBBD,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210056829276,1075,DCDCBBEDCECCAECCCCEEBECECBECBECECCBACDCECACBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210056863989,1077,DEEAAAECCBABBDDDDBEEEDEDCCCABBECCAEEDAADEECBB,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210055959455,1075,BCDCABCAADBDADBDDBDCBADEAECBECDECDEAABDBCEEAB,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
