NU_INSCRICAO,I_005961,I_008364,I_010322,I_010409,I_010500,I_014797,I_019807,I_028683,I_030053,I_030327,I_030493,I_031516,I_032369,I_039443,I_043182,I_047309,I_053461,I_060441,I_061248,I_063204,I_063646,I_068123,I_068369,I_075829,I_082581,I_085013,I_085228,I_085343,I_085588,I_086466,I_086499,I_086840,I_089637,I_095509,I_095676,I_096315,I_097590,I_111516,I_111738,I_117651,I_117742,I_117820,I_117877,I_117886,I_117973
210054480501,D,E,E,D,E,C,C,D,C,C,D,A,B,E,A,D,E,D,A,D,D,E,D,B,C,D,C,C,D,C,B,B,C,D,B,E,C,B,B,C,D,B,C,C,B
210054480679,B,B,C,A,B,C,A,B,D,A,E,D,C,E,C,A,C,E,E,B,B,E,E,B,E,A,C,E,A,D,A,B,C,A,C,B,B,C,D,C,B,D,A,B,A
210054484131,D,A,A,E,D,C,B,A,B,D,D,C,A,D,C,B,C,E,C,C,C,E,A,C,D,C,E,B,B,A,B,C,A,C,A,C,E,C,B,E,C,C,A,E,C
210054490610,C,E,D,D,A,E,D,A,B,D,E,A,B,D,A,B,E,D,B,E,E,E,D,A,B,E,B,E,A,B,B,E,B,C,A,C,D,D,D,E,D,E,D,C,E
210054492422,E,B,B,A,C,D,C,C,D,C,B,D,A,A,C,E,D,C,A,B,B,B,E,B,E,C,C,C,B,B,C,E,D,C,A,E,D,E,B,D,D,D,D,D,A
210054499997,D,A,C,B,D,B,C,D,C,D,E,C,A,D,C,D,C,E,D,D,C,E,A,C,A,A,E,C,B,E,D,A,A,C,A,A,C,C,D,E,C,C,B,C,C
210054503257,D,E,C,D,C,B,C,C,*,D,E,A,B,C,*,C,B,E,A,A,A,E,E,D,D,D,B,B,A,A,D,C,E,B,A,E,B,C,A,C,B,B,C,D,A
210054508065,B,C,A,E,D,A,C,D,A,A,A,C,A,C,A,E,E,E,B,A,B,E,E,B,E,A,D,D,B,D,A,E,A,C,E,A,E,C,E,C,E,D,B,C,E
210054509911,D,A,A,E,C,B,B,E,B,D,A,E,A,A,B,E,E,E,A,E,B,E,C,C,D,B,C,C,B,E,D,B,B,B,E,A,E,D,A,D,C,B,E,C,B
210054514195,D,C,C,B,C,B,C,A,B,D,A,D,A,D,D,C,B,A,B,D,E,E,A,A,C,B,C,C,A,B,C,E,A,B,E,D,C,B,A,B,A,E,D,B,E
210054516791,E,E,B,E,A,C,C,D,C,A,A,D,A,C,B,A,B,B,D,D,B,E,D,A,D,A,C,B,C,B,A,C,B,B,E,C,D,D,B,C,E,D,B,C,C
210054529073,D,C,C,B,D,B,C,B,C,A,C,D,A,E,A,C,D,C,A,D,B,E,E,C,C,C,E,E,B,D,B,C,B,B,B,A,C,A,D,C,A,B,B,A,C
210054530183,C,A,E,C,E,C,C,A,A,A,E,D,B,C,D,C,B,D,B,D,B,E,C,A,D,C,B,E,B,D,C,C,C,A,E,D,E,B,A,E,A,B,A,E,E
210054533652,D,C,C,B,B,A,C,A,B,D,B,E,C,D,A,A,E,E,A,B,B,D,E,A,E,E,A,E,B,B,C,D,A,C,E,B,B,D,E,C,E,E,C,C,A
210054542878,C,B,.,E,B,B,.,B,B,D,C,.,A,E,C,B,C,.,D,E,B,A,.,C,.,C,B,D,B,C,B,C,B,B,.,A,E,C,E,E,C,.,.,.,B
210054548412,D,A,C,E,D,C,D,D,D,D,E,A,B,A,C,E,E,E,E,A,B,B,E,C,C,A,B,C,B,C,B,C,E,C,A,B,C,C,E,A,B,D,D,C,A
210054550758,A,B,A,D,A,B,B,B,B,D,A,C,E,D,D,C,A,E,D,A,B,C,C,C,C,E,C,A,C,B,B,A,B,B,A,B,A,D,D,C,B,C,B,D,A
210054551711,A,D,B,E,A,D,C,E,E,D,A,C,A,D,B,B,C,E,B,C,B,B,E,A,A,C,A,C,D,B,A,A,A,C,A,C,E,C,D,D,B,A,D,E,B
210054552019,D,B,C,E,B,D,C,B,E,D,A,D,D,E,D,B,C,E,E,E,C,B,B,C,D,E,C,C,B,C,E,D,D,C,A,A,B,C,B,D,B,E,A,A,B
210054554867,D,A,C,B,D,C,C,D,D,D,C,A,A,D,B,A,E,E,D,E,B,C,E,D,B,B,D,B,D,B,E,D,E,E,A,A,B,E,E,D,B,C,C,C,B
