NU_INSCRICAO,CO_PROVA_MT,TX_RESPOSTAS_MT,TX_GABARITO_MT
210058008518,1077,AECCCAECACEAAEDDBBABBACDDBDABEDEBCCEDAEADBDCD,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210055443843,1076,AAACDCEEECACABCCCDEBCDABEBABBEDBBCDDAEBDECCCC,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057034159,1078,BAACCCBEECBBECACCDEBEDBACBBEDBAEADEEDCABEBCBE,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD
210055364900,1075,CBDBEDECACDBEDBCBDAEDBBDCADBCCAECDBDCADCBDDAC,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210056080871,1077,DEBBAAECACDEBCABDCABDCBBBDBEDDECEBBEDCEDAEEAC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210056879478,1076,BBDAEABAEAACDABBAEDACACEDCBBBEABADCACEADBAEDC,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057662355,1076,DBDAEBCCBDACDACDACDDCACEDABBCBDEDCDCCCCCDEEDD,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210056091151,1075,BCDADACAEDCCCBCDBCAECBDAADEAACACCEBADDCECCCBB,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210056594763,1075,DDEACADDAADCABDBCABBEDECBBACCDCECDBAEDCCDABBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210054902773,1078,DBECBCECDDCABCAEBECDCEBBABDBCBDACCCBDCCADDBBA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD
210057333409,1077,BBBDBCBDBDABDEADCDDCBBBCCDCBCCBDBBCECCDEDBCAC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210057499655,1076,BCCEBCDEEDBCEDCEEDDBCEBCCBBDCCECBCBDCEBCEABBC,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210055283738,1076,CEBDADEEEBECEBEBDDCEEDEBBBBBCEEEAADDEAACEEEBB,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210054570548,1077,CCDBBCCCCBCCBBACBDCCCBDECAAECCCCDCCCDDDDDECEC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210057369957,1075,CBEAADCACBDECAEEECADBEDBCAACDBEDCBACDAECBDEBC,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210056685834,1077,CBDACCEBABABBEBAAABBACAEBBAABEACBCAEBAADDDAEC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE
210055272515,1075,DDADDDADDDEAABDDDCEEDDDDDDECCAABCDDCDADEBECDE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210055468089,1076,ADAADCBEEDADBCCCBEDECEAACBBBBABBDACDAECDDACBE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210056560851,1078,AEEDACAAABCDCACACABECBDCBDDECBACCBCABBCCBCBCA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD
210054835087,1076,EBCDDECEAEEDCEBDABCBECBDBADEBAABADCBADDCBAEAB,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC
210057605280,1075,BBEBEEDDCDECEECBBBBBCCCCBBDAAAAAAABBBDCECACBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210054625415,1075,AAADBCEDECABEBEDBADAECDAEBADBAEAEABDAECAABDCE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
210055641181,1075,CADDDBEDDDCACEDEAABCCDEECBCABCAACADAEDBEBACBE,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE
