NU_INSCRICAO,I_005961,I_008364,I_010322,I_010409,I_010500,I_014797,I_019807,I_028683,I_030053,I_030327,I_030493,I_031516,I_032369,I_039443,I_043182,I_047309,I_053461,I_060441,I_061248,I_063204,I_063646,I_068123,I_068369,I_075829,I_082581,I_085013,I_085228,I_085343,I_085588,I_086466,I_086499,I_086840,I_089637,I_095509,I_095676,I_096315,I_097590,I_111516,I_111738,I_117651,I_117742,I_117820,I_117877,I_117886,I_117973
210054479192,E,B,C,D,A,A,A,B,A,C,A,A,A,A,B,A,A,B,B,C,B,D,B,A,A,A,A,E,A,A,A,D,A,A,C,C,E,A,B,B,C,E,C,C,A
210054483969,B,A,A,E,D,A,D,A,C,D,.,A,D,.,C,.,C,E,D,.,B,B,A,.,A,.,.,.,B,D,C,.,.,B,A,A,C,C,.,.,.,.,B,.,A
210054484198,B,E,C,D,D,C,B,A,C,B,A,E,D,B,A,D,E,E,E,D,B,D,D,B,C,C,C,E,D,E,C,C,A,C,E,A,B,B,C,C,B,B,A,D,C
210054484386,D,C,C,B,C,B,C,A,D,D,E,C,A,A,E,A,E,B,B,D,A,C,B,A,D,E,B,C,B,D,B,B,A,D,A,A,C,E,A,D,C,B,D,D,B
210054491071,B,D,A,B,D,B,C,B,D,E,B,D,B,E,E,B,B,E,A,D,C,B,A,B,C,B,A,B,B,A,B,D,A,D,A,C,B,D,D,D,B,D,D,D,C
210054491537,C,B,B,D,A,D,E,C,B,A,B,A,A,E,B,C,C,E,B,D,E,B,D,D,C,A,A,C,D,D,D,A,C,E,B,C,C,B,D,B,B,A,C,D,B
210054505549,B,B,E,E,B,D,D,A,B,D,D,A,D,E,D,C,C,B,D,A,A,E,D,D,B,A,E,C,C,B,D,A,E,B,B,E,B,B,E,A,B,C,C,C,A
210054506100,B,B,B,E,A,A,B,D,B,D,A,B,B,D,C,C,E,B,A,C,C,B,B,A,B,A,B,E,B,B,A,C,A,C,B,A,B,E,E,D,C,A,B,B,C
210054514755,B,E,C,E,A,A,C,D,C,D,A,A,A,D,C,B,E,D,A,C,B,E,B,A,C,A,D,C,D,B,A,C,A,B,A,A,B,B,A,E,E,D,D,C,D
210054515003,D,E,C,B,C,C,D,B,C,D,A,C,A,D,C,B,B,E,A,E,C,B,A,C,D,C,A,B,B,C,C,A,C,B,A,A,D,D,C,D,D,E,B,D,C
210054521625,B,C,*,A,D,E,D,A,B,C,E,B,D,D,A,B,E,B,B,D,C,C,B,A,A,B,D,E,A,A,A,B,C,D,D,C,D,D,C,C,A,E,B,D,D
210054525048,B,B,A,D,C,B,B,A,B,A,E,A,A,C,A,E,E,E,E,C,B,E,E,B,C,E,C,A,B,C,A,A,D,A,B,A,B,D,D,E,D,B,B,D,E
210054527636,D,A,C,C,C,B,A,A,C,A,C,E,B,C,D,D,B,E,A,D,B,E,B,B,C,A,B,E,C,C,B,C,D,D,A,B,B,A,E,C,C,E,A,D,B
210054542793,D,A,C,E,C,A,C,D,A,D,D,D,C,D,B,C,E,E,C,B,B,E,C,C,C,B,D,B,D,B,D,D,A,C,C,A,D,D,E,D,C,B,C,B,B
210054545276,E,D,C,A,B,A,A,E,D,C,B,E,B,B,C,E,C,E,B,C,D,B,A,C,D,A,C,B,C,B,B,C,A,D,C,B,A,A,A,A,E,D,C,D,B
210054547599,A,A,C,A,D,B,C,D,C,D,B,C,A,D,B,E,D,E,C,E,C,B,A,D,C,C,A,C,B,C,A,B,C,C,A,C,D,C,B,E,B,C,B,C,C
210054549310,B,C,C,E,B,A,A,C,D,A,C,C,D,A,A,B,B,D,B,D,E,C,B,C,C,C,C,B,A,B,D,A,A,A,E,C,B,B,D,D,C,C,A,B,E
210054555378,C,C,C,A,B,C,C,B,D,D,D,C,B,C,B,A,E,E,B,B,B,B,E,C,B,E,D,B,C,C,C,D,B,B,E,A,B,C,C,D,B,D,D,C,C
210054560078,E,B,C,E,B,B,E,D,C,D,A,D,B,D,C,E,B,E,A,C,B,B,B,E,D,B,A,D,B,C,D,D,E,A,A,E,C,D,B,D,B,C,C,C,C
210054567048,C,B,C,B,C,A,C,A,D,D,D,C,E,E,B,B,E,E,E,D,B,B,A,D,C,D,B,C,D,B,E,E,B,E,A,A,D,C,E,C,E,B,D,C,C
210054570548,A,E,C,B,B,D,C,C,C,B,E,D,D,C,B,B,C,E,C,C,C,C,D,A,D,C,C,C,B,D,C,D,C,C,E,A,B,C,C,C,C,D,D,C,C
210054576616,C,A,B,C,C,B,C,A,B,A,E,A,A,E,A,E,B,E,C,E,B,E,B,B,E,E,E,A,B,D,D,E,D,B,A,A,A,C,E,A,A,B,E,A,C
210054577800,E,B,E,E,C,B,C,B,C,C,A,E,C,D,A,B,D,E,C,C,B,C,C,D,E,B,C,B,C,A,A,E,C,C,A,E,B,B,C,D,B,C,D,A,C
210054578608,A,D,C,D,C,D,C,E,A,D,D,C,A,A,B,D,E,E,A,E,E,B,A,C,E,D,D,E,B,A,D,E,E,B,A,A,B,C,E,C,B,A,B,C,C
210054579255,A,B,A,E,A,D,E,C,E,B,A,B,A,A,.,A,B,E,B,B,A,C,C,A,A,D,B,E,E,D,A,C,A,A,E,A,B,B,A,A,C,C,A,E,A
