CO_POSICAO,CO_ITEM,CO_HABILIDADE,TX_COR,CO_PROVA,TX_GABARITO
8,I_005961,7,AZUL,1075,D
23,I_005961,7,AMARELA,1076,D
26,I_005961,7,ROSA,1077,D
38,I_005961,7,CINZA,1078,D
25,I_008364,6,AZUL,1075,A
43,I_008364,6,AMARELA,1076,A
28,I_008364,6,ROSA,1077,A
19,I_008364,6,CINZA,1078,A
33,I_010322,6,AZUL,1075,C
6,I_010322,6,AMARELA,1076,C
34,I_010322,6,ROSA,1077,C
11,I_010322,6,CINZA,1078,C
45,I_010409,6,AZUL,1075,E
30,I_010409,6,AMARELA,1076,E
14,I_010409,6,ROSA,1077,E
2,I_010409,6,CINZA,1078,E
5,I_010500,3,AZUL,1075,B
26,I_010500,3,AMARELA,1076,B
10,I_010500,3,ROSA,1077,B
41,I_010500,3,CINZA,1078,B
39,I_014797,8,AZUL,1075,D
34,I_014797,8,AMARELA,1076,D
18,I_014797,8,ROSA,1077,D
10,I_014797,8,CINZA,1078,D
43,I_019807,12,AZUL,1075,E
12,I_019807,12,AMARELA,1076,E
45,I_019807,12,ROSA,1077,E
6,I_019807,12,CINZA,1078,E
26,I_028683,11,AZUL,1075,A
44,I_028683,11,AMARELA,1076,A
29,I_028683,11,ROSA,1077,A
20,I_028683,11,CINZA,1078,A
16,I_030053,17,AZUL,1075,C
35,I_030053,17,AMARELA,1076,C
1,I_030053,17,ROSA,1077,C
29,I_030053,17,CINZA,1078,C
38,I_030327,25,AZUL,1075,D
33,I_030327,25,AMARELA,1076,D
17,I_030327,25,ROSA,1077,D
9,I_030327,25,CINZA,1078,D
3,I_030493,27,AZUL,1075,D
18,I_030493,27,AMARELA,1076,D
24,I_030493,27,ROSA,1077,D
45,I_030493,27,CINZA,1078,D
31,I_031516,20,AZUL,1075,A
4,I_031516,20,AMARELA,1076,A
40,I_031516,20,ROSA,1077,A
17,I_031516,20,CINZA,1078,A
28,I_032369,30,AZUL,1075,D
1,I_032369,30,AMARELA,1076,D
37,I_032369,30,ROSA,1077,D
14,I_032369,30,CINZA,1078,D
22,I_039443,19,AZUL,1075,X
40,I_039443,19,AMARELA,1076,X
6,I_039443,19,ROSA,1077,X
22,I_039443,19,CINZA,1078,X
19,I_043182,3,AZUL,1075,C
14,I_043182,3,AMARELA,1076,C
4,I_043182,3,ROSA,1077,C
27,I_043182,3,CINZA,1078,C
20,I_047309,2,AZUL,1075,B
15,I_047309,2,AMARELA,1076,B
5,I_047309,2,ROSA,1077,B
28,I_047309,2,CINZA,1078,B
23,I_053461,23,AZUL,1075,C
41,I_053461,23,AMARELA,1076,C
7,I_053461,23,ROSA,1077,C
23,I_053461,23,CINZA,1078,C
40,I_060441,1,AZUL,1075,E
9,I_060441,1,AMARELA,1076,E
42,I_060441,1,ROSA,1077,E
3,I_060441,1,CINZA,1078,E
13,I_061248,15,AZUL,1075,D
37,I_061248,15,AMARELA,1076,D
19,I_061248,15,ROSA,1077,D
31,I_061248,15,CINZA,1078,D
34,I_063204,9,AZUL,1075,E
7,I_063204,9,AMARELA,1076,E
35,I_063204,9,ROSA,1077,E
12,I_063204,9,CINZA,1078,E
21,I_063646,7,AZUL,1075,C
28,I_063646,7,AMARELA,1076,C
12,I_063646,7,ROSA,1077,C
25,I_063646,7,CINZA,1078,C
35,I_068123,26,AZUL,1075,B
8,I_068123,26,AMARELA,1076,B
36,I_068123,26,ROSA,1077,B
13,I_068123,26,CINZA,1078,B
32,I_068369,4,AZUL,1075,A
5,I_068369,4,AMARELA,1076,A
41,I_068369,4,ROSA,1077,A
18,I_068369,4,CINZA,1078,A
9,I_075829,1,AZUL,1075,C
24,I_075829,1,AMARELA,1076,C
27,I_075829,1,ROSA,1077,C
39,I_075829,1,CINZA,1078,C
30,I_082581,10,AZUL,1075,A
3,I_082581,10,AMARELA,1076,A
39,I_082581,10,ROSA,1077,A
16,I_082581,10,CINZA,1078,A
24,I_085013,2,AZUL,1075,B
42,I_085013,2,AMARELA,1076,B
8,I_085013,2,ROSA,1077,B
24,I_085013,2,CINZA,1078,B
17,I_085228,18,AZUL,1075,C
36,I_085228,18,AMARELA,1076,C
2,I_085228,18,ROSA,1077,C
30,I_085228,18,CINZA,1078,C
15,I_085343,22,AZUL,1075,D
39,I_085343,22,AMARELA,1076,D
21,I_085343,22,ROSA,1077,D
33,I_085343,22,CINZA,1078,D
44,I_085588,24,AZUL,1075,B
29,I_085588,24,AMARELA,1076,B
13,I_085588,24,ROSA,1077,B
1,I_085588,24,CINZA,1078,B
18,I_086466,14,AZUL,1075,C
13,I_086466,14,AMARELA,1076,C
3,I_086466,14,ROSA,1077,C
26,I_086466,14,CINZA,1078,C
7,I_086499,5,AZUL,1075,B
22,I_086499,5,AMARELA,1076,B
25,I_086499,5,ROSA,1077,B
37,I_086499,5,CINZA,1078,B
2,I_086840,28,AZUL,1075,C
17,I_086840,28,AMARELA,1076,C
23,I_086840,28,ROSA,1077,C
44,I_086840,28,CINZA,1078,C
6,I_089637,28,AZUL,1075,E
27,I_089637,28,AMARELA,1076,E
11,I_089637,28,ROSA,1077,E
42,I_089637,28,CINZA,1078,E
11,I_095509,21,AZUL,1075,E
20,I_095509,21,AMARELA,1076,E
32,I_095509,21,ROSA,1077,E
35,I_095509,21,CINZA,1078,E
42,I_095676,26,AZUL,1075,A
11,I_095676,26,AMARELA,1076,A
44,I_095676,26,ROSA,1077,A
5,I_095676,26,CINZA,1078,A
36,I_096315,29,AZUL,1075,A
31,I_096315,29,AMARELA,1076,A
15,I_096315,29,ROSA,1077,A
7,I_096315,29,CINZA,1078,A
1,I_097590,25,AZUL,1075,E
16,I_097590,25,AMARELA,1076,E
22,I_097590,25,ROSA,1077,E
43,I_097590,25,CINZA,1078,E
27,I_111516,24,AZUL,1075,C
45,I_111516,24,AMARELA,1076,C
30,I_111516,24,ROSA,1077,C
21,I_111516,24,CINZA,1078,C
14,I_111738,27,AZUL,1075,B
38,I_111738,27,AMARELA,1076,B
20,I_111738,27,ROSA,1077,B
32,I_111738,27,CINZA,1078,B
10,I_117651,18,AZUL,1075,E
19,I_117651,18,AMARELA,1076,E
31,I_117651,18,ROSA,1077,E
34,I_117651,18,CINZA,1078,E
37,I_117742,13,AZUL,1075,B
32,I_117742,13,AMARELA,1076,B
16,I_117742,13,ROSA,1077,B
8,I_117742,13,CINZA,1078,B
12,I_117820,17,AZUL,1075,C
21,I_117820,17,AMARELA,1076,C
33,I_117820,17,ROSA,1077,C
36,I_117820,17,CINZA,1078,C
29,I_117877,12,AZUL,1075,B
2,I_117877,12,AMARELA,1076,B
38,I_117877,12,ROSA,1077,B
15,I_117877,12,CINZA,1078,B
41,I_117886,9,AZUL,1075,D
10,I_117886,9,AMARELA,1076,D
43,I_117886,9,ROSA,1077,D
4,I_117886,9,CINZA,1078,D
4,I_117973,11,AZUL,1075,A
25,I_117973,11,AMARELA,1076,A
9,I_117973,11,ROSA,1077,A
40,I_117973,11,CINZA,1078,A
